lamda;cuentas
251.16;767.40
251.29;765.90
251.43;760.60
251.56;757.30
251.70;759.20
251.83;755.00
251.97;757.85
252.10;758.10
252.24;759.75
252.37;754.40
252.51;758.95
252.64;762.45
252.78;767.00
252.92;768.25
253.05;769.60
253.19;771.75
253.32;769.90
253.46;767.45
253.59;767.25
253.73;771.50
253.86;766.35
254.00;765.45
254.13;767.40
254.27;764.45
254.40;765.00
254.54;769.80
254.67;768.40
254.81;764.60
254.94;768.40
255.08;761.40
255.21;765.25
255.35;764.40
255.48;769.05
255.62;769.55
255.75;772.50
255.89;765.35
256.02;767.95
256.16;763.75
256.29;766.85
256.43;768.05
256.56;770.30
256.70;770.95
256.83;774.60
256.97;767.85
257.10;763.55
257.24;760.15
257.37;760.60
257.51;759.25
257.64;759.80
257.78;760.30
257.91;763.10
258.05;761.60
258.18;764.75
258.32;767.30
258.45;768.00
258.59;767.95
258.72;769.45
258.86;767.00
258.99;761.15
259.13;762.25
259.26;766.50
259.40;761.90
259.53;764.35
259.67;769.35
259.80;767.90
259.94;765.25
260.07;771.00
260.21;768.65
260.34;766.30
260.47;773.10
260.61;773.05
260.74;768.70
260.88;769.10
261.01;768.00
261.15;762.15
261.28;756.50
261.42;751.05
261.55;745.95
261.69;750.55
261.82;751.60
261.96;758.35
262.09;764.85
262.23;766.25
262.36;762.25
262.50;763.70
262.63;763.50
262.77;759.75
262.90;761.60
263.04;761.60
263.17;763.95
263.31;764.20
263.44;769.85
263.58;769.40
263.71;777.75
263.84;778.75
263.98;777.65
264.11;775.50
264.25;777.25
264.38;770.65
264.52;769.70
264.65;769.65
264.79;771.00
264.92;767.60
265.06;769.25
265.19;767.35
265.33;766.70
265.46;770.70
265.60;773.10
265.73;774.25
265.87;775.75
266.00;780.30
266.13;777.45
266.27;780.70
266.40;778.20
266.54;773.80
266.67;768.90
266.81;770.70
266.94;770.30
267.08;768.70
267.21;773.35
267.35;772.30
267.48;766.05
267.62;764.15
267.75;764.95
267.88;759.45
268.02;765.70
268.15;766.80
268.29;765.55
268.42;763.00
268.56;762.70
268.69;759.30
268.83;759.65
268.96;764.45
269.10;768.80
269.23;771.90
269.37;772.50
269.50;770.60
269.63;767.35
269.77;768.30
269.90;770.10
270.04;772.10
270.17;779.40
270.31;779.55
270.44;777.85
270.58;783.30
270.71;783.05
270.85;778.80
270.98;780.25
271.11;783.15
271.25;782.30
271.38;781.25
271.52;784.00
271.65;781.40
271.79;777.65
271.92;771.50
272.06;769.05
272.19;764.85
272.32;764.00
272.46;764.45
272.59;761.10
272.73;760.95
272.86;765.40
273.00;766.75
273.13;768.25
273.27;770.35
273.40;769.75
273.53;764.15
273.67;758.70
273.80;755.70
273.94;753.00
274.07;751.95
274.21;753.45
274.34;758.85
274.47;768.40
274.61;770.75
274.74;768.90
274.88;772.20
275.01;772.10
275.15;764.85
275.28;761.85
275.42;769.25
275.55;764.75
275.68;766.30
275.82;766.60
275.95;772.10
276.09;765.95
276.22;769.60
276.36;771.65
276.49;777.05
276.62;770.00
276.76;771.20
276.89;771.25
277.03;765.95
277.16;755.20
277.30;757.75
277.43;758.25
277.56;759.35
277.70;762.65
277.83;766.50
277.97;767.90
278.10;770.30
278.24;766.40
278.37;763.05
278.50;763.60
278.64;766.00
278.77;762.30
278.91;765.10
279.04;764.45
279.17;762.80
279.31;763.35
279.44;764.40
279.58;762.00
279.71;761.55
279.85;767.50
279.98;768.15
280.11;772.40
280.25;777.15
280.38;778.75
280.52;773.20
280.65;770.60
280.78;769.65
280.92;764.80
281.05;765.25
281.19;769.40
281.32;768.85
281.46;765.20
281.59;766.20
281.72;768.50
281.86;766.90
281.99;762.55
282.13;762.25
282.26;758.15
282.39;754.70
282.53;751.10
282.66;756.90
282.80;756.75
282.93;758.35
283.06;758.25
283.20;767.25
283.33;768.95
283.47;773.90
283.60;777.65
283.73;780.40
283.87;775.95
284.00;773.25
284.14;774.10
284.27;773.55
284.40;775.60
284.54;771.25
284.67;770.45
284.81;764.40
284.94;765.00
285.07;760.40
285.21;762.40
285.34;766.80
285.48;766.50
285.61;762.55
285.74;762.55
285.88;763.80
286.01;759.90
286.15;764.05
286.28;770.25
286.41;772.20
286.55;767.40
286.68;766.15
286.82;761.15
286.95;759.10
287.08;761.10
287.22;764.30
287.35;766.00
287.49;770.00
287.62;773.30
287.75;771.70
287.89;772.00
288.02;771.65
288.16;771.80
288.29;768.20
288.42;763.50
288.56;763.90
288.69;765.10
288.82;762.00
288.96;760.80
289.09;766.60
289.23;768.25
289.36;770.65
289.49;780.65
289.63;782.00
289.76;778.60
289.90;778.50
290.03;779.80
290.16;773.65
290.30;771.75
290.43;774.15
290.56;770.35
290.70;765.40
290.83;767.05
290.97;767.35
291.10;762.55
291.23;767.60
291.37;765.90
291.50;763.30
291.63;764.05
291.77;771.20
291.90;766.80
292.04;773.20
292.17;774.50
292.30;775.70
292.44;771.00
292.57;776.25
292.70;780.00
292.84;777.20
292.97;772.30
293.11;772.80
293.24;775.35
293.37;772.00
293.51;775.20
293.64;784.30
293.77;785.75
293.91;777.55
294.04;772.10
294.17;770.65
294.31;761.95
294.44;760.55
294.58;763.65
294.71;763.55
294.84;763.75
294.98;768.70
295.11;768.40
295.24;766.45
295.38;767.70
295.51;767.80
295.64;770.10
295.78;776.20
295.91;775.35
296.05;777.95
296.18;777.65
296.31;774.90
296.45;770.00
296.58;773.20
296.71;773.80
296.85;773.60
296.98;774.40
297.11;775.15
297.25;771.30
297.38;766.50
297.52;765.70
297.65;764.45
297.78;762.95
297.92;771.20
298.05;773.90
298.18;771.90
298.32;772.80
298.45;774.65
298.58;770.90
298.72;771.20
298.85;775.45
298.98;777.55
299.12;775.70
299.25;776.15
299.38;777.75
299.52;772.40
299.65;770.10
299.78;770.65
299.92;767.90
300.05;761.95
300.18;764.70
300.32;761.30
300.45;763.15
300.59;767.90
300.72;776.75
300.85;780.25
300.99;785.50
301.12;785.20
301.25;780.95
301.39;777.65
301.52;771.25
301.65;770.30
301.79;769.65
301.92;767.75
302.05;765.95
302.19;769.35
302.32;767.30
302.45;767.50
302.59;767.90
302.72;765.75
302.85;765.00
302.99;770.55
303.12;769.30
303.25;779.05
303.39;776.00
303.52;776.75
303.65;770.05
303.79;766.50
303.92;759.75
304.05;763.50
304.19;761.90
304.32;762.20
304.45;762.55
304.59;761.95
304.72;766.75
